FIP,county_city,total_pop_2020,ems,red_cross,fire_station,hospital,national_shelter,urgent_care,total_facilities_shelters,facilities_shelters_per_10000,percent_high_school,percent_vehicle,percent_employed,percent_not_disabled,gini_index,reverse_gini,pop_resilience,hpsa,rfld_afreq,rfld_expb,rfld_expp,rfld_exppe,rfld_expa,rfld_expt,rfld_hlrb,rfld_hlrp,rfld_hlra,rfld_hlrr,rfld_ealb,rfld_ealp,rfld_ealpe,rfld_eala,rfld_ealt,rfld_eals,rfld_ealr,rfld_risks,rfld_riskr,cfld_afreq,clfd_expb,cfld_expp,clfd_exppe,cfld_expt,cfld_hlrb,cfld_hlrp,clfd_hlrr,cfld_ealb,cfld_ealp,cfld_ealpe,cfld_ealt,cfld_eals,cfld_ealr,cfld_risks,cfld_riskr
51001,ACCOMACK,33413,1,18,16,0,3,0,38,11.37,82.8,90.9,96.3,91.3,0.4562,54.38,0.83136,1,0.54,1142952459,6500.31,49402351457,20271780.59,50565575697,0.000847393,1.16E-05,0.003897333,Very Low,524620.11,0.040713576,309423.18,42794.85,876838.14,12.05,Relatively Low,13.87,Relatively Moderate,4.465856739,2086003888,14383.48053,1.09E+11,1.11E+11,0.000904355,1.33E-07,Very Low,8424785.363,0.008558604,65045.3874,8489830.75,32.04548688,Relatively High,40.39571394,Relatively High
51003,ALBEMARLE,112395,0,15,13,4,30,1,63,5.61,92.9,95.5,96.6,94.3,0.4719,52.81,0.86422,0,3.13,314088710,1881.83,14301894369,2656980.893,14618640060,1.76E-05,1.58E-05,0.005347812,Very Low,17261.35,0.093094164,707515.65,44403.23,769180.23,11.54,Relatively Low,6.94,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51005,ALLEGHANY,15223,1,6,12,1,3,0,23,15.11,89.5,92.3,95.4,85.9,0.4537,54.63,0.83546,2,1.13,206979120.4,1644.18,12495797376,462318.2952,12703238815,0.00236736,2.74E-05,0.003897333,Very Low,551243.44,0.050768359,385839.53,2027.03,939110.00,12.33,Relatively Moderate,12.92,Relatively Moderate,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51007,AMELIA,13265,0,7,5,0,6,0,18,13.57,85.3,96.7,95.6,89.2,0.432,56.8,0.8472,1,0.25,18486385.48,203.67,1547887842,2530069.277,1568904297,0.000112095,7.15E-06,0.003897333,Very Low,518.06,0.000364254,2768.33,2465.13,5751.52,2.26,Very Low,1.50,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51009,AMHERST,31307,0,5,6,0,3,1,15,4.79,87.1,94.9,95.1,88.5,0.4239,57.61,0.84642,1,1.17,93436847.03,796.99,6057124052,818282.084,6151379181,0.000499742,2.02E-05,0.003897333,Very Low,54476.67,0.01877751,142709.08,3720.64,200906.38,7.37,Relatively Low,7.17,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51011,APPOMATTOX,16119,0,2,4,0,6,0,12,7.44,87.5,96,97.2,87.6,0.4202,57.98,0.85256,1,1.04,23214544.73,231.62,1760319515,392846.2133,1783926906,0.002905802,7.15E-06,0.007630453,Very Low,70267.57,0.001726019,13117.74,3122.49,86507.80,5.57,Very Low,4.93,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51013,ARLINGTON,238643,1,14,12,1,16,2,46,1.93,94.7,86.1,97.2,95.7,0.4426,55.74,0.85888,0,1.08,251563900.2,1977.85,15031664713,183.8913152,15283228797,0.00160234,1.73E-05,0.003897333,Very Low,436681.83,0.037125365,282152.78,0.78,718835.38,11.28,Relatively Low,1.09,Very Low,4.425936328,808303135.9,4540.401832,34507053926,35315357062,1.47E-06,9.13E-09,Very Low,5273.286332,0.000183474,1394.405022,6667.691353,2.95659855,Very Low,0.313920924,Very Low
51015,AUGUSTA,77487,0,16,12,1,17,0,46,5.94,88.5,96,97.1,90.4,0.3997,60.03,0.86406,0,2.50,1504227902,15493.03,1.18E+11,18001048.18,1.19E+11,0.000158143,2.20E-06,0.002520448,Very Low,594709.18,0.085117888,646895.95,113426.76,1355031.89,13.93,Relatively Moderate,9.33,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51017,BATH,4209,0,3,6,1,6,0,16,38.01,88.4,97.2,93.7,90.7,0.4721,52.79,0.84558,1,1.13,43498907.48,187.20,1422724330,1355287.558,1467578525,0.002980533,7.15E-06,0.003897333,Very Low,145856.16,0.001506602,11450.18,5942.26,163248.59,6.88,Relatively Low,9.21,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51019,BEDFORD,79462,1,24,16,1,12,1,55,6.92,91.7,97.3,96.6,90,0.4211,57.89,0.86698,1,1.58,207075306.7,1630.05,12388349905,903042.2272,12596328253,0.000152437,7.15E-06,0.006289105,Very Low,49979.42,0.018463376,140321.66,8992.27,199293.34,7.35,Relatively Low,5.02,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51021,BLAND,6270,0,1,7,0,6,0,14,22.33,87.3,96.6,95.7,87.3,0.3975,60.25,0.8543,1,0.79,88274674.16,1220.29,9274195990,898451.9203,9363369116,0.000873509,7.15E-06,0.003897333,Very Low,61044.44,0.006911048,52523.97,2772.07,116340.48,6.15,Very Low,3.89,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51023,BOTETOURT,33596,0,15,5,0,9,0,29,8.63,93.1,96.9,97.2,91.7,0.4128,58.72,0.87524,2,1.67,290821695.7,2008.16,15261989246,1857142.872,15554668085,0.00036489,1.20E-05,0.003897333,Very Low,176863.37,0.040020394,304154.99,12063.17,493081.54,9.95,Relatively Low,4.97,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51025,BRUNSWICK,15849,0,5,8,0,6,0,19,11.99,78.9,92.8,93.1,85.9,0.4559,54.41,0.81022,1,0.42,21470665.05,188.22,1430494529,492859.739,1452458054,0.00212015,7.15E-06,0.003897333,Very Low,18967.10,0.000561048,4263.97,800.35,24031.41,3.63,Very Low,4.07,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51027,BUCHANAN,20355,0,10,11,1,11,0,33,16.21,73.8,93.8,93.5,74.6,0.4797,52.03,0.77546,1,1.63,211480663.7,2654.94,20177543176,20761.74378,20389044602,0.003187752,3.46E-05,0.003897333,Very Low,1095490.20,0.149360452,1135139.44,131.49,2230761.12,16.45,Relatively Moderate,16.27,Relatively Moderate,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51029,BUCKINGHAM,16824,0,7,3,0,7,0,17,10.10,83.1,94.1,94.2,87,0.428,57.2,0.8312,2,1.63,13212679.59,151.49,1151317440,2636876.948,1167166996,0.00196736,1.14E-05,0.003897333,Very Low,42240.42,0.002800427,21283.25,16699.78,80223.44,5.43,Very Low,5.15,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51031,CAMPBELL,55696,0,16,7,0,6,0,29,5.21,88.9,94.9,96.2,90.2,0.4169,58.31,0.85702,1,1.75,95631203.89,661.44,5026973657,1169240.167,5123774101,0.000781222,7.15E-06,0.00644286,Very Low,130741.06,0.008280755,62933.74,13183.19,206857.99,7.45,Relatively Low,5.68,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51033,CAROLINE,30887,0,10,6,0,10,1,27,8.74,88.3,95.6,97.3,90.5,0.4332,56.68,0.85676,1,0.50,102237090.3,754.74,5736005992,1066767.939,5839309850,0.000155202,7.15E-06,0.003897333,Very Low,7933.70,0.002699634,20517.22,2078.77,30529.70,3.94,Very Low,2.93,Very Low,4.423936328,1474405.876,17.69137169,134454424.9,135928830.7,7.53E-05,1.07E-08,Very Low,490.86274,8.36E-07,6.355674458,497.2184144,1.244465702,Very Low,1.01605637,Very Low
51035,CARROLL,29155,1,8,4,0,18,0,31,10.63,81.7,95.4,95.6,86.1,0.4388,56.12,0.82984,1,1.92,28914363.51,239.34,1819012870,336723.1031,1848263956,0.002294292,7.15E-06,0.003897333,Very Low,127147.83,0.003281766,24941.42,2515.28,154604.54,6.76,Relatively Low,7.25,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51036,CHARLES CITY,6773,0,3,3,0,1,0,7,10.34,81.6,94.1,96.9,85.5,0.4924,50.76,0.81772,2,0.46,8108367.432,55.40,421069444.3,0,429177811.7,0.0017064,7.15E-06,0.003897333,Very Low,6341.55,0.00018166,1380.62,0.00,7722.17,2.49,Very Low,2.25,Very Low,4.435936328,45172074.95,415.4013699,3157050411,3202222486,0.000116764,1.27E-08,Very Low,23397.30495,2.34E-05,177.549108,23574.85406,4.50419172,Very Low,4.466535468,Very Low
51037,CHARLOTTE,11529,0,4,7,0,3,0,14,12.14,83.1,90.8,94.5,84.6,0.4885,51.15,0.8083,1,2.08,17429439.46,166.05,1261959266,1252429.296,1280641135,0.002827541,1.20E-05,0.005875681,Very Low,102671.79,0.004143503,31490.63,15330.99,149493.40,6.68,Very Low,8.03,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
