FIP,county_city,total_pop_2020,ems,red_cross,fire_station,hospital,national_shelter,urgent_care,total_facilities_shelters,facilities_shelters_per_10000,percent_high_school,percent_vehicle,percent_employed,percent_not_disabled,gini_index,reverse_gini,pop_resilience,hpsa,rfld_afreq,rfld_expb,rfld_expp,rfld_exppe,rfld_expa,rfld_expt,rfld_hlrb,rfld_hlrp,rfld_hlra,rfld_hlrr,rfld_ealb,rfld_ealp,rfld_ealpe,rfld_eala,rfld_ealt,rfld_eals,rfld_ealr,rfld_risks,rfld_riskr,cfld_afreq,clfd_expb,cfld_expp,clfd_exppe,cfld_expt,cfld_hlrb,cfld_hlrp,clfd_hlrr,cfld_ealb,cfld_ealp,cfld_ealpe,cfld_ealt,cfld_eals,cfld_ealr,cfld_risks,cfld_riskr
51041,CHESTERFIELD,364548,0,31,25,4,18,4,82,2.25,91.7,97.3,95.3,90.7,0.4575,54.25,0.8585,0,0.88,731277604,5707.80,43379259424,169974.7685,44110707003,0.000493613,8.29E-06,0.007903733,Very Low,315847.38,0.041387512,314545.09,1175.51,631567.98,10.80,Relatively Low,5.41,Very Low,0.035936328,270916646.2,2068.502778,15720621116,15991537762,0.001620188,1.44E-07,Very Low,15773.74735,1.07E-05,81.27340266,15855.02075,3.946294284,Very Low,2.164223347,Very Low
51043,CLARKE,14783,0,6,4,0,7,0,17,11.50,91.9,96.5,97.1,92.2,0.423,57.7,0.8708,0,1.50,120601134.7,598.56,4549075844,331756.4027,4670008735,0.001875257,7.15E-06,0.00699159,Very Low,339237.10,0.006423027,48815.00,3479.26,391531.36,9.21,Relatively Low,5.69,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51045,CRAIG,4892,0,2,3,0,2,0,7,14.31,92.2,93.3,98.3,88.6,0.3882,61.18,0.86716,1,0.58,35395489.32,309.96,2355665148,309934.8726,2391370572,0.000749453,7.15E-06,0.000124966,Very Low,15474.23,0.001293468,9830.36,22.59,25327.18,3.70,Very Low,2.87,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51047,CULPEPER,52552,0,8,7,1,17,0,33,6.28,87.2,96.8,96,89.6,0.4652,53.48,0.84616,1,2.96,196005498.3,1335.82,10152202432,3530476.68,10351738407,0.000519729,2.45E-05,0.007356521,Very Low,301364.43,0.096967022,736949.37,76833.91,1115147.71,13.06,Relatively Moderate,8.15,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51049,CUMBERLAND,9675,0,5,2,0,3,0,10,10.34,86.6,93.4,97.7,88.7,0.4263,57.37,0.84754,2,0.33,36528379.61,253.39,1925733734,1875996.778,1964138111,0.0017064,7.15E-06,0.003897333,Very Low,20777.34,0.000604227,4592.13,2437.13,27806.60,3.81,Very Low,4.13,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51051,DICKENSON,14124,0,7,4,1,8,0,20,14.16,79.3,89.8,95.1,75.2,0.5839,41.61,0.76202,1,1.29,75834858.85,712.48,5414849390,6435.696198,5490690685,0.001134617,7.15E-06,0.003897333,Very Low,111139.56,0.00658358,50035.21,32.40,161207.17,6.85,Relatively Low,6.86,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51053,DINWIDDIE,27947,0,8,3,1,3,0,15,5.37,84.9,97.1,93.7,88.8,0.4223,57.77,0.84454,1,0.50,65079206.01,644.23,4896164166,511376.3102,4961754748,0.004267102,2.30E-05,0.006544249,Very Low,138849.82,0.007393448,56190.20,1673.29,196713.31,7.32,Relatively Low,6.00,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51057,ESSEX,10599,0,4,3,1,2,0,10,9.43,84.4,95.3,92,88.5,0.4013,59.87,0.84014,1,0.38,78971973.95,484.34,3680978169,354864.4034,3760305007,0.000430225,7.15E-06,0.008383298,Very Low,12740.91,0.001299331,9874.92,1115.60,23731.42,3.62,Very Low,4.03,Very Low,4.435936328,130367386.6,1028.911135,7819724623,7950092010,0.001905151,1.04E-07,Very Low,1101751.253,0.000476698,3622.901853,1105374.155,16.24190499,Relatively Moderate,19.79331855,Relatively Moderate
51059,FAIRFAX,1150309,1,42,44,7,30,22,146,1.27,92.2,95.6,96,95.1,0.4332,56.68,0.87116,2,4.75,3121517240,20288.92,1.54E+11,105443.3125,1.57E+11,5.92E-05,1.33E-06,0.006476706,Very Low,877886.55,0.12861053,977440.02,3243.90,1858570.47,15.48,Relatively Moderate,3.22,Very Low,4.43192041,1271603734,8367.336338,63591756172,64863359906,6.19E-06,2.20E-08,Very Low,34884.55723,0.000817089,6209.878222,41094.43545,5.420776935,Very Low,1.233993931,Very Low
51061,FAUQUIER,72972,1,13,13,1,24,3,55,7.54,91.7,96.9,97.1,93.9,0.4177,58.23,0.87566,0,2.58,428193415.2,2634.47,20021983119,3724895.871,20453901430,0.00027088,7.15E-06,0.007299394,Very Low,299638.81,0.048686979,370021.04,70239.49,739899.34,11.39,Relatively Low,4.02,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51063,FLOYD,15476,0,7,4,0,6,1,18,11.63,89.2,93.8,96.9,91.5,0.4085,59.15,0.8611,1,0.71,12908983.96,126.39,960562735.4,244878.1315,973716597.5,0.003385403,7.15E-06,0.003897333,Very Low,30955.66,0.000640455,4867.46,676.01,36499.13,4.18,Very Low,3.10,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51065,FLUVANNA,27249,0,8,5,0,14,0,27,9.91,91.8,98.1,97.5,90.4,0.4771,52.29,0.86018,2,0.25,11972622.47,115.62,878696400.2,540740.7097,891209763.3,0.0017064,7.15E-06,0.003897333,Very Low,5107.52,0.000206778,1571.51,526.86,7205.89,2.43,Very Low,1.76,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51067,FRANKLIN,54477,0,15,11,1,8,1,36,6.61,88.6,94.7,95.7,87.9,0.4675,53.25,0.8403,1,2.38,155062483.8,760.29,5778183156,1284354.562,5934529994,0.000226641,7.15E-06,0.002507319,Very Low,83465.73,0.012917552,98173.39,7648.18,189287.30,7.23,Relatively Low,6.05,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51069,FREDERICK,91419,1,12,11,0,5,0,29,3.17,87.9,96,96.7,91.8,0.3965,60.35,0.8655,2,2.63,258320688.3,1954.05,14850777671,1580390.543,15110678750,0.000272246,8.67E-06,0.004074835,Very Low,184607.53,0.044495068,338162.52,16904.55,539674.60,10.25,Relatively Low,5.08,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51071,GILES,16787,0,12,9,2,9,0,32,19.06,88.7,93.6,95.9,91.5,0.3827,61.73,0.86286,1,1.67,135664397.2,1061.45,8067029116,416858.087,8203110371,0.001333732,7.15E-06,0.000374943,Very Low,301566.64,0.012655744,96183.65,260.50,398010.78,9.26,Relatively Low,9.01,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51073,GLOUCESTER,38711,1,7,6,1,21,2,38,9.82,89.5,97.6,96.4,87,0.3811,61.89,0.86478,0,0.33,422482978.9,3599.43,27355659978,981249.0102,27779124206,0.00344696,7.15E-06,0.003897333,Very Low,485427.30,0.00858324,65232.62,1274.75,551934.67,10.33,Relatively Low,6.99,Relatively Low,4.447904493,1271809693,10149.04665,77132754505,78404564198,0.000199531,6.62E-08,Very Low,1128722.223,0.002986572,22697.946,1151420.169,16.4643709,Relatively Moderate,12.19911449,Relatively Low
51075,GOOCHLAND,24727,0,6,6,0,3,0,15,6.07,91.5,97.7,96.3,90.9,0.4837,51.63,0.85606,2,0.21,70381894.14,395.99,3009517842,1879898.874,3081779635,0.0017064,7.15E-06,0.003897333,Very Low,25020.77,0.000590175,4485.33,1526.37,31032.47,3.96,Very Low,1.00,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51077,GRAYSON,15333,0,7,6,0,13,0,26,16.96,83.6,95.2,95.7,84.7,0.47,53,0.8244,1,1.25,38526241.2,305.12,2318900593,1209680.732,2358636515,0.000982307,7.15E-06,0.003897333,Very Low,47305.73,0.002728459,20736.29,5893.16,73935.18,5.28,Very Low,6.47,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51079,GREENE,20552,0,4,3,0,9,0,16,7.79,88.3,97.5,95.6,89.3,0.3913,60.87,0.86314,1,2.13,14090125.34,118.98,904266099.6,403770.4568,918759995.4,0.00384606,1.35E-05,0.007418424,Very Low,115156.85,0.003417984,25976.68,6365.10,147498.63,6.65,Very Low,4.82,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51081,GREENSVILLE,11391,0,0,1,0,1,0,2,1.76,78,90.1,94.7,88.3,0.4426,55.74,0.81368,1,0.29,30135578.53,226.31,1719948412,1271734.616,1751355725,0.006027885,1.38E-05,0.006701254,Very Low,52982.36,0.000908739,6906.42,2485.65,62374.42,4.99,Very Low,3.45,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51083,HALIFAX,34022,1,15,13,1,9,3,42,12.34,82.8,92.3,96.1,84.6,0.4484,55.16,0.82192,1,4.63,89577497.57,538.73,4094341245,1262969.511,4185181712,0.001973796,7.15E-06,0.008602704,Very Low,817735.50,0.017824652,135467.36,50250.41,1003453.27,12.61,Relatively Moderate,15.29,Relatively Moderate,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51085,HANOVER,109979,0,17,18,3,8,1,47,4.27,93.5,97.1,96.8,92.5,0.419,58.1,0.876,0,0.83,328457199.7,1755.76,13343789366,1623374.116,13673869939,0.000444548,2.28E-05,0.003897333,Very Low,121679.08,0.033395072,253802.55,5272.36,380753.98,9.13,Relatively Low,3.60,Very Low,0.025936328,33940640.1,238.3538276,1811489090,1845429730,0.000656611,8.88E-08,Very Low,578.0119766,5.49E-07,4.171066804,582.1830434,1.311657301,Very Low,0.56758036,Very Low
51087,HENRICO,334389,0,26,15,5,38,5,89,2.66,91.9,94,95.9,91.6,0.4673,53.27,0.85334,2,0.79,712137911.6,5147.06,39117661724,339736.2645,39830139372,0.000274938,1.97E-05,0.003897333,Very Low,155003.23,0.080356137,610706.64,1048.22,766758.09,11.52,Relatively Low,8.50,Relatively Low,0.025936328,342588290.5,2403.706762,18268171394,18610759685,0.000317478,4.28E-08,Very Low,2820.945174,2.67E-06,20.29204965,2841.237224,2.224861746,Very Low,1.797178021,Very Low
51089,HENRY,50948,0,7,15,0,4,0,26,5.10,80.5,93.7,93.7,84.5,0.4381,56.19,0.81718,2,1.83,182936050.3,1324.02,10062558347,733461.5282,10246227859,0.001779048,1.71E-05,0.003897333,Very Low,596661.97,0.041432169,314884.48,5240.66,916787.11,12.23,Relatively Moderate,13.58,Relatively Moderate,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51091,HIGHLAND,2232,0,3,2,0,4,0,9,40.32,90.7,96,88.6,87.7,0.385,61.5,0.849,1,0.58,13177399.43,77.58,589645435.8,1709063.1,604531898.4,0.004163752,9.45E-06,0.00347149,Very Low,32006.00,0.00042783,3251.51,3460.91,38718.42,4.26,Very Low,6.08,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51093,ISLE OF WIGHT,38606,0,6,5,0,9,1,21,5.44,88.9,96,94.1,88.1,0.4351,56.49,0.84718,0,0.54,203259866.9,1222.46,9290659854,384668.0253,9494304389,0.00193947,7.15E-06,0.011650634,Very Low,213533.86,0.004737006,36001.25,2427.55,251962.66,7.95,Relatively Low,4.35,Very Low,4.471840822,455771713.1,3411.006261,25923647581,26379419294,4.33E-05,6.41E-08,Very Low,88323.0571,0.000977388,7428.145846,95751.20294,7.186464366,Relatively Low,4.301156248,Very Low
51095,JAMES CITY,78254,1,5,5,3,28,2,44,5.62,94.9,96.5,95.9,91,0.4271,57.29,0.87118,2,0.42,261174275.4,1813.45,13782205082,29279.67581,14043408637,0.000265207,7.15E-06,0.006580795,Very Low,28860.50,0.005405461,41081.51,80.28,70022.29,5.19,Very Low,3.83,Very Low,4.44192041,586739586.2,4296.213858,32651225319,33237964906,8.45E-06,4.20E-08,Very Low,22013.70594,0.00080184,6093.983183,28107.68912,4.776123821,Very Low,3.865075107,Very Low
51097,KING AND QUEEN,6608,0,7,5,0,0,0,12,18.16,91.1,96.3,96.5,91.6,0.4283,57.17,0.86534,1,0.54,27500315.9,196.29,1491804536,175239.5112,1519480091,0.002500709,7.15E-06,0.003897333,Very Low,37250.57,0.000760623,5780.73,369.94,43401.24,4.42,Very Low,3.38,Very Low,4.435936328,79167403.23,772.9226495,5874212136,5953379540,0.000340446,4.89E-08,Very Low,119558.4552,0.000167589,1273.678966,120832.1342,7.76595159,Relatively Low,6.491695015,Relatively Low
51099,KING GEORGE,26723,0,4,4,0,8,1,17,6.36,92.3,97.7,96.2,91.8,0.3749,62.51,0.88102,1,0.42,40987892.03,288.78,2194692804,119645.8805,2235800342,2.92E-05,7.15E-06,0.003897333,Very Low,499.46,0.000860771,6541.86,194.29,7235.61,2.44,Very Low,0.63,Very Low,4.435936328,175762156.6,1263.965042,9606134321,9781896477,0.000285058,3.57E-08,Very Low,222250.7182,0.000200085,1520.648477,223771.3667,9.536785946,Relatively Low,2.720946761,Very Low
51101,KING WILLIAM,17810,0,4,3,0,3,0,10,5.61,92.2,96.7,95.9,90.8,0.3742,62.58,0.87636,1,0.54,60641440.14,474.62,3607146726,561623.4081,3668349790,0.00222976,7.15E-06,0.003897333,Very Low,73241.91,0.001839167,13977.67,1185.62,88405.20,5.61,Very Low,2.54,Very Low,4.435936328,253525823.6,2181.515138,16579515045,16833040869,0.000260198,3.83E-08,Very Low,292625.4782,0.00037041,2815.115485,295440.5937,10.46222172,Relatively Low,5.194877377,Very Low
51103,LANCASTER,10919,1,3,4,1,3,0,12,10.99,89.8,94.4,90.1,89.6,0.5566,44.34,0.81648,2,0.33,156168003.1,589.23,4478149384,62802.63822,4634380190,0.007281952,7.15E-06,0.003897333,Very Low,379069.32,0.001405085,10678.65,81.59,389829.55,9.20,Relatively Low,14.85,Relatively Moderate,4.447904493,445103662.6,2431.91919,18482585843,18927689505,0.000779358,6.95E-08,Very Low,1542956.996,0.000751259,5709.569409,1548666.565,18.17411078,Relatively Moderate,32.15129289,Relatively Moderate
51105,LEE,22173,0,13,9,1,9,0,32,14.43,80.1,89,90.3,78.7,0.4652,53.48,0.78316,1,0.58,152446925.8,2477.31,18827536834,626225.6848,18980609985,0.000750424,7.15E-06,0.003897333,Very Low,66733.23,0.010337978,78568.63,1423.69,146725.55,6.64,Very Low,7.54,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51107,LOUDOUN,420959,1,19,24,4,60,11,119,2.83,93.2,97.3,96.5,95.6,0.3922,60.78,0.88676,2,3.08,1145785975,7057.88,53639888584,1830041.261,54787504600,0.000114032,7.15E-06,0.009067975,Very Low,402856.32,0.155680292,1183170.22,51167.21,1637193.75,14.84,Relatively Moderate,0.00,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51109,LOUISA,37596,0,12,9,0,17,0,38,10.11,88.4,94.9,94.8,86.6,0.4421,55.79,0.84098,1,0.50,65692909.26,354.28,2692535027,439750.5993,2758667687,0.0017064,7.15E-06,0.003897333,Very Low,56049.19,0.001267234,9630.97,856.93,66537.10,5.10,Very Low,3.71,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51111,LUNENBURG,11936,0,4,2,0,0,0,6,5.03,82.7,93.2,96.2,85.5,0.419,58.1,0.8314,1,0.42,4189876.219,54.31,412764375,156600.85,417110852,0.001839214,7.15E-06,0.003897333,Very Low,3210.87,0.000161889,1230.35,254.30,4695.52,2.11,Very Low,1.95,Very Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
51113,MADISON,13837,0,3,1,0,7,0,11,7.95,88.7,98.4,95.9,90,0.4535,54.65,0.8553,1,2.38,32688776.39,254.63,1935160450,1837017.817,1969686244,0.003491311,1.33E-05,0.00815782,Very Low,271050.89,0.008032642,61048.08,35591.90,367690.86,9.02,Relatively Low,8.17,Relatively Low,NA,NA,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Not Applicable,NA,Not Applicable
