COUNTY,TOTAL,FREQ,PER10000,FIP
ACCOMACK,33413,38,11.37281896,51001
ALBEMARLE,112395,63,5.605231549,51003
ALEXANDRIA CITY,159467,38,2.382938163,51510
ALLEGHANY,15223,23,15.10871707,51005
AMELIA,13265,18,13.56954391,51007
AMHERST,31307,15,4.79126074,51009
APPOMATTOX,16119,12,7.44463056,51011
ARLINGTON,238643,46,1.927565443,51013
AUGUSTA,77487,46,5.936479668,51015
BATH,4209,16,38.01378,51017
BEDFORD,79462,55,6.921547406,51019
BLAND,6270,14,22.32854864,51021
BOTETOURT,33596,29,8.631979998,51023
BRISTOL CITY,17219,11,6.388292003,51520
BRUNSWICK,15849,19,11.98813805,51025
BUCHANAN,20355,33,16.21223287,51027
BUCKINGHAM,16824,17,10.10461246,51029
BUENA VISTA CITY,6641,6,9.034783918,51530
CAMPBELL,55696,29,5.206837116,51031
CAROLINE,30887,27,8.741541749,51033
CARROLL,29155,31,10.63282456,51035
CHARLES CITY,6773,7,10.33515429,51036
CHARLOTTE,11529,14,12.14329083,51037
CHARLOTTESVILLE CITY,46553,27,5.799841041,51540
CHESAPEAKE CITY,249422,84,3.367786322,51550
CHESTERFIELD,364548,82,2.249360852,51041
CLARKE,14783,17,11.4996956,51043
COLONIAL HEIGHTS CITY,18170,7,3.852504128,51570
COVINGTON CITY,5737,13,22.65992679,51580
CRAIG,4892,7,14.30907604,51045
CULPEPER,52552,33,6.279494596,51047
CUMBERLAND,9675,10,10.33591731,51049
DANVILLE CITY,42590,35,8.217891524,51590
DICKENSON,14124,20,14.16029453,51051
DINWIDDIE,27947,15,5.367302394,51053
EMPORIA CITY,5766,5,8.671522719,51595
ESSEX,10599,10,9.434852345,51057
FAIRFAX,1150309,146,1.269224182,51059
FAIRFAX CITY,24146,7,2.899030895,51600
FALLS CHURCH CITY,14658,3,2.046663938,51610
FAUQUIER,72972,55,7.537137532,51061
FLOYD,15476,18,11.63091238,51063
FLUVANNA,27249,27,9.9086205,51065
FRANKLIN,54477,36,6.608293408,51067
FRANKLIN CITY,8180,8,9.7799511,51620
FREDERICK,91419,29,3.17220709,51069
FREDERICKSBURG CITY,27982,17,6.075334143,51630
GALAX CITY,6720,14,20.83333333,51640
GILES,16787,32,19.06236969,51071
GLOUCESTER,38711,38,9.816331275,51073
GOOCHLAND,24727,15,6.066243378,51075
GRAYSON,15333,26,16.95689037,51077
GREENE,20552,16,7.785130401,51079
GREENSVILLE,11391,2,1.755772101,51081
HALIFAX,34022,42,12.34495327,51083
HAMPTON CITY,137148,50,3.64569662,51650
HANOVER,109979,47,4.273543131,51085
HARRISONBURG CITY,51814,10,1.929980314,51660
HENRICO,334389,89,2.661570805,51087
HENRY,50948,26,5.103242522,51089
HIGHLAND,2232,9,40.32258065,51091
HOPEWELL CITY,23033,16,6.946554943,51670
ISLE OF WIGHT,38606,21,5.439568979,51093
JAMES CITY,78254,44,5.622715772,51095
KING AND QUEEN,6608,12,18.1598063,51097
KING GEORGE,26723,17,6.361561202,51099
