federal_provider_number,si_loc_id,distance,rfld_risks,rfld_riskr,cfld_risks,cfld_riskr
495312,10724465,19,15.3906869102692,Relatively Moderate,,Not Applicable
495315,10949843,37,29.5776142421152,Relatively High,,Not Applicable
495316,10724203,78,11.0109867768581,Relatively Low,,Not Applicable
495317,2985600,97,8.20677800329946,Relatively Low,,Not Applicable
495318,476568,64,27.2898365161854,Relatively High,,Not Applicable
495319,10734908,196,10.372149153928,Relatively Low,0,No Rating
495320,10730802,30,18.941662674282,Relatively Moderate,,Not Applicable
495321,3499494,100,9.99704651937256,Relatively Low,,Not Applicable
495323,11664285,79,16.4689790427526,Relatively Moderate,,Not Applicable
495324,991180,98,8.10229179363079,Relatively Low,6.81518843625441,Relatively Low
495325,3501936,365,4.21937303810356,Very Low,,Not Applicable
495326,1978694,86,0,No Rating,,Not Applicable
495327,3501549,103,14.0772759687632,Relatively Moderate,0,No Rating
495328,2986852,48,9.2711054113618,Relatively Low,27.7555263238972,Relatively High
495330,10736228,143,15.4718507485241,Relatively Moderate,3.62972119888415,Relatively Low
495331,10726199,131,12.1256921255348,Relatively Moderate,,Not Applicable
495332,11664276,235,12.1045101676561,Relatively Moderate,8.37288827298361,Relatively Low
495333,1989192,122,0,No Rating,,Not Applicable
495334,1476607,118,10.5583236986463,Relatively Low,12.950196761041,Relatively Moderate
495336,3985539,101,20.2818649224949,Relatively High,,Not Applicable
495337,3487934,87,5.16599860976755,Relatively Low,0,No Rating
495338,984275,55,9.58292833299213,Relatively Low,,Not Applicable
495339,10726915,114,11.3177576038222,Relatively Low,,Not Applicable
495340,988137,134,9.68914209447032,Relatively Low,7.72344703797218,Relatively Low
495342,1991065,82,15.1712604211118,Relatively Moderate,12.3484524026424,Relatively Moderate
495343,2487530,104,19.3124974219732,Relatively Moderate,,Not Applicable
495344,10725913,165,13.6966678565282,Relatively Moderate,,Not Applicable
495345,3492549,49,13.8069913229299,Relatively Moderate,15.3040557979126,Relatively Moderate
495347,2992142,98,9.73076534994817,Relatively Low,0.445183166427035,Very Low
495348,10949530,79,8.50171344130144,Relatively Low,,Not Applicable
495349,1990883,93,16.7152807701039,Relatively Moderate,,Not Applicable
495350,1990838,84,12.9372564254947,Relatively Moderate,,Not Applicable
495352,10725271,76,15.964997916934,Relatively Moderate,,Not Applicable
495353,10722988,104,3.91839670098283,Very Low,,Not Applicable
495354,10949635,56,9.67700717613421,Relatively Low,0,No Rating
495355,10723582,59,8.68515172504024,Relatively Low,,Not Applicable
495356,10949440,49,10.6095316573029,Relatively Low,,Not Applicable
495357,10949748,103,13.8534365045285,Relatively Moderate,,Not Applicable
495358,1978905,116,5.1394651172025,Relatively Low,,Not Applicable
495359,1988118,180,16.1538381971239,Relatively Moderate,,Not Applicable
495360,1477115,65,23.5052336319282,Relatively High,,Not Applicable
495361,2994475,15,7.1580989221582,Relatively Low,0.227794432966324,Very Low
495362,3490839,107,4.37965793891016,Very Low,0.448272213564391,Very Low
495363,10949697,170,15.082074368262,Relatively Moderate,,Not Applicable
495364,2995104,104,16.624691586033,Relatively Moderate,24.8424175540053,Relatively High
495365,10725628,30,13.1011194743835,Relatively Moderate,,Not Applicable
495366,1494870,80,3.3202493210961,Very Low,2.11688242026553,Very Low
495367,3499023,41,9.56318531450753,Relatively Low,1.07552511873129,Very Low
495368,10949622,39,7.3241017376478,Relatively Low,5.85523676263608,Relatively Low
495369,10728911,222,6.07891535380251,Relatively Low,4.39336599691119,Relatively Low
495370,10949955,77,21.7611883523318,Relatively High,,Not Applicable
495371,10949337,67,22.0620355436192,Relatively High,,Not Applicable
495372,10949559,169,27.2898365161854,Relatively High,,Not Applicable
495373,10949442,103,14.6306755660799,Relatively Moderate,,Not Applicable
495374,10727390,55,16.5160751919381,Relatively Moderate,,Not Applicable
495375,10718420,94,10.7883659194744,Relatively Low,,Not Applicable
495377,971839,87,9.78555540444385,Relatively Low,,Not Applicable
495378,10720148,263,9.89642145547324,Relatively Low,,Not Applicable
495379,2993694,197,7.79339118917689,Relatively Low,,Not Applicable
495380,3493530,101,6.83642564105711,Relatively Low,,Not Applicable
495381,2999761,58,12.3357193486808,Relatively Moderate,,Not Applicable
495383,476337,17,15.8291829256323,Relatively Moderate,14.409797894449,Relatively Moderate
495384,3995980,98,9.17344769003739,Relatively Low,,Not Applicable
495385,3999321,97,3.17235359683654,Very Low,,Not Applicable
495386,2481970,118,12.3818986403144,Relatively Moderate,,Not Applicable
495387,1488306,70,16.6677806874354,Relatively Moderate,,Not Applicable
495388,3494928,45,14.5094327029207,Relatively Moderate,0.3673286641345,Very Low
495389,2990302,58,9.05705618655335,Relatively Low,,Not Applicable
495390,2994721,270,6.44233677721125,Relatively Low,0.19321775907704,Very Low
495391,10720467,92,4.54256016526377,Relatively Low,1.90693755827395,Very Low
495392,3502864,103,14.9235035708226,Relatively Moderate,7.05420062517666,Relatively Low
495393,3501712,260,13.8177936215133,Relatively Moderate,1.11464877206402,Very Low
495394,1980322,43,8.95148061599529,Relatively Low,0,No Rating
495395,2497752,98,23.5314150154165,Relatively High,8.37360899773942,Relatively Low
495396,1488638,70,0,No Rating,0,No Rating
495397,3000279,206,7.87531700099247,Relatively Low,0.604814017041865,Very Low
495398,10731075,48,9.56549658951067,Relatively Low,,Not Applicable
495399,981860,102,18.0554009952081,Relatively Moderate,,Not Applicable
495400,10949542,63,22.9164252790394,Relatively High,,Not Applicable
495401,2986239,118,5.91505594247595,Relatively Low,0.213156959851368,Very Low
495402,980065,274,8.78424867143473,Relatively Low,0.491339597118322,Very Low
495403,11664292,218,17.4648927774705,Relatively Moderate,1.94705012199035,Very Low
495404,2481980,119,12.3818986403144,Relatively Moderate,,Not Applicable
495405,1496409,61,17.4098507689212,Relatively Moderate,,Not Applicable
495406,1987801,89,10.6095316573029,Relatively Low,,Not Applicable
495407,10949583,134,7.97346031723497,Relatively Low,0.565126418921427,Very Low
495408,10949693,48,18.5507705426411,Relatively Moderate,,Not Applicable
495409,10730286,84,5.16356211636462,Relatively Low,,Not Applicable
495410,2988494,107,5.67183689664813,Relatively Low,0,No Rating
495411,11664273,53,8.17996070559385,Relatively Low,,Not Applicable
495412,2492478,82,18.651344964266,Relatively Moderate,,Not Applicable
495413,10949711,116,8.80761933090753,Relatively Low,0.28267069757961,Very Low
495415,10724058,1315,13.5857874469539,Relatively Moderate,,Not Applicable
495416,10722637,262,14.2373710306493,Relatively Moderate,,Not Applicable
495417,10727250,50,12.5895252105523,Relatively Moderate,,Not Applicable
495418,4002895,80,6.07500023796365,Relatively Low,4.34367603440898,Relatively Low
495419,11664288,145,6.49719766707693,Relatively Low,0.450613526312601,Very Low
495420,972056,729,7.92716631898308,Relatively Low,,Not Applicable
495421,3995545,127,8.86311014897611,Relatively Low,,Not Applicable
495422,1987731,50,12.5269914084991,Relatively Moderate,24.7731607242456,Relatively High
495423,1995805,131,10.969419816905,Relatively Low,0.874187369976369,Very Low
495424,10721373,71,7.62083894566508,Relatively Low,0.152345243991703,Very Low
495425,10734447,103,6.3849859803066,Relatively Low,,Not Applicable
495426,987833,94,12.5011905929162,Relatively Moderate,,Not Applicable
495427,10735282,183,9.89642145547324,Relatively Low,,Not Applicable
495428,10949636,82,7.69709666076608,Relatively Low,0,No Rating
495429,479314,786,28.4892317294255,Relatively High,32.6649355213676,Relatively High
495430,3493584,103,12.5269914084991,Relatively Moderate,24.7731607242456,Relatively High
495431,10726161,51,7.97346031723497,Relatively Low,0.565126418921427,Very Low
49A007,1978649,139,9.78555540444385,Relatively Low,,Not Applicable
49A022,10719925,150,0,No Rating,0,No Rating
49E004,1477847,72,8.402202737714,Relatively Low,,Not Applicable
49E050,2490423,81,18.611261912031,Relatively Moderate,,Not Applicable
49E075,10949786,81,29.5776142421152,Relatively High,,Not Applicable
49E076,10949820,46,16.3713816369612,Relatively Moderate,,Not Applicable
49E084,2498723,59,0,No Rating,0,No Rating
49E131,2995766,111,14.2705517096521,Relatively Moderate,,Not Applicable
49E256,2500350,117,5.01008035952069,Relatively Low,1.65068639650685,Very Low
