federal_provider_number,si_loc_id,distance,rfld_risks,rfld_riskr,cfld_risks,cfld_riskr
495002,10725468,108,13.3618592974904,Relatively Moderate,,Not Applicable
495011,472439,72,9.72136561477052,Relatively Low,2.59675779175613,Very Low
495013,3495188,155,13.5802704797317,Relatively Moderate,,Not Applicable
495015,10950038,56,14.4235211825984,Relatively Moderate,,Not Applicable
495019,2494135,129,10.6098327075972,Relatively Low,0.628712072903558,Very Low
495034,2995407,94,24.9710427107446,Relatively High,,Not Applicable
495038,982564,172,6.99153659620744,Relatively Low,0.113323439974334,Very Low
495045,1484595,154,13.4996874903202,Relatively Moderate,1.21495329930016,Very Low
495046,10733686,98,,,,
495057,984728,75,5.84384912570868,Relatively Low,0,No Rating
495068,10728365,31,27.7113101183265,Relatively High,8.70111039570928,Relatively Low
495071,4000131,225,12.6241605980258,Relatively Moderate,0.550619584073244,Very Low
495077,1492145,31,12.9675893852704,Relatively Moderate,,Not Applicable
495079,10949753,156,1.99267458089897,Very Low,0,No Rating
495085,3499461,64,2.75932410196731,Very Low,3.22630428662451,Very Low
495086,4002575,58,14.9235035708226,Relatively Moderate,7.05420062517666,Relatively Low
495087,4001850,100,21.0685959607254,Relatively High,,Not Applicable
495092,11664291,3,6.74896794382365,Relatively Low,,Not Applicable
495093,10949707,57,13.4758309165317,Relatively Moderate,,Not Applicable
495096,10723809,139,13.4996874903202,Relatively Moderate,1.21495329930016,Very Low
495097,10950013,77,11.0835979216628,Relatively Low,0.870827371907743,Very Low
495099,1992628,91,6.61647051645957,Relatively Low,,Not Applicable
495102,10734827,177,8.64853123608552,Relatively Low,0.178036380340948,Very Low
495105,3499679,58,17.9113134907914,Relatively Moderate,,Not Applicable
495107,2495486,67,28.6531873889838,Relatively High,,Not Applicable
495108,2997842,78,0,No Rating,1.66146580696227,Very Low
495109,2991149,180,0,No Rating,0,No Rating
495112,10724915,67,0,No Rating,,Not Applicable
495113,10726780,775,12.4495795328445,Relatively Moderate,,Not Applicable
495114,10718314,85,0,No Rating,0,No Rating
495115,10730524,116,16.2839702131,Relatively Moderate,4.74216946439322,Relatively Low
495117,988815,171,6.08265169451027,Relatively Low,3.36414233470449,Very Low
495118,1984241,178,11.3911538798114,Relatively Low,,Not Applicable
495120,2496585,170,12.3323087920952,Relatively Moderate,,Not Applicable
495121,10949441,59,0,No Rating,0.071433782600148,Very Low
495123,987307,68,9.68265433459755,Relatively Low,1.84504627894315,Very Low
495126,2998964,51,17.1455239785046,Relatively Moderate,,Not Applicable
495127,3502711,106,25.0227278021766,Relatively High,7.93140720072497,Relatively Low
495131,483111,45,6.04097287033078,Relatively Low,,Not Applicable
495133,1989917,46,18.0642043120761,Relatively Moderate,,Not Applicable
495134,1989745,987,20.785095501406,Relatively High,,Not Applicable
495135,1990814,159,18.7697889727987,Relatively Moderate,,Not Applicable
495139,1488452,134,23.1486260608731,Relatively High,,Not Applicable
495140,2986665,105,23.1670131056558,Relatively High,,Not Applicable
495141,10727598,131,23.5052336319282,Relatively High,,Not Applicable
495142,10721782,93,14.8963179067876,Relatively Moderate,,Not Applicable
495143,2991960,229,16.5310530623901,Relatively Moderate,,Not Applicable
495144,2498144,110,0,No Rating,0,No Rating
495146,1993308,71,20.0658851591861,Relatively High,,Not Applicable
495147,3503682,616,18.9458278438905,Relatively Moderate,,Not Applicable
495149,486894,80,13.6635161450097,Relatively Moderate,5.08286068139509,Relatively Low
495150,488347,131,7.61704034948532,Relatively Low,4.15295020008813,Relatively Low
495151,484982,71,12.9675893852704,Relatively Moderate,,Not Applicable
495152,10724727,232,18.5975016342166,Relatively Moderate,,Not Applicable
495153,483308,87,7.36104727175064,Relatively Low,,Not Applicable
495155,473229,56,6.25532702597054,Relatively Low,0.171647276055507,Very Low
495156,10731751,121,9.30399103137469,Relatively Low,,Not Applicable
495157,10718537,145,17.5915669718713,Relatively Moderate,0.984082331059959,Very Low
495160,478344,70,29.8200773545267,Relatively High,36.9225516949518,Relatively High
495165,476249,359,13.6792566288869,Relatively Moderate,,Not Applicable
495166,3498343,24,9.36617563256945,Relatively Low,,Not Applicable
495167,10723735,186,16.7152807701039,Relatively Moderate,,Not Applicable
495168,483179,108,12.5430321578351,Relatively Moderate,,Not Applicable
495171,10949365,156,4.96065243108851,Relatively Low,0.209316679503751,Very Low
495173,10720448,131,19.4445676840333,Relatively Moderate,6.10589043124887,Relatively Low
495174,10723521,565,7.61508562232054,Relatively Low,0,No Rating
495177,1486370,45,4.3596498349733,Very Low,,Not Applicable
495178,10949546,296,0,No Rating,,Not Applicable
495179,479014,125,6.67947982443961,Relatively Low,,Not Applicable
495181,1489053,456,26.5805789529612,Relatively High,,Not Applicable
495183,10722734,102,6.40931238458553,Relatively Low,0.319284493135376,Very Low
495184,3492323,568,6.29523093082553,Relatively Low,5.04687225124245,Relatively Low
495185,10731593,126,7.84199923262495,Relatively Low,,Not Applicable
495186,10949456,123,9.03898532537361,Relatively Low,2.35737328223687,Very Low
495187,973278,94,16.4689790427526,Relatively Moderate,,Not Applicable
495188,10723365,52,11.6929100799715,Relatively Moderate,,Not Applicable
495189,10949664,76,6.99813547031535,Relatively Low,4.13906878338428,Relatively Low
495190,980106,279,10.0758949604501,Relatively Low,5.85114503791381,Relatively Low
495191,1979500,126,14.4252771701224,Relatively Moderate,,Not Applicable
495192,1478026,115,9.59676573902138,Relatively Low,,Not Applicable
495193,11664294,164,6.45551130929474,Relatively Low,0,No Rating
495194,486776,20,4.3260560071612,Very Low,2.37354567023129,Very Low
495196,973132,953,13.6603340901266,Relatively Moderate,,Not Applicable
495197,10949514,78,13.4661915214079,Relatively Moderate,0,No Rating
495199,10949775,35,10.7883659194744,Relatively Low,,Not Applicable
495200,1990559,109,29.9734672008282,Relatively High,,Not Applicable
495201,3001120,116,0.740090200895344,Very Low,2.64183490208943,Very Low
495202,3494056,63,15.3770633645673,Relatively Moderate,,Not Applicable
495203,1991317,51,1.63500443688073,Very Low,0,No Rating
495204,10949781,29,12.6241605980258,Relatively Moderate,0.550619584073244,Very Low
495205,975607,153,0,No Rating,0,No Rating
495206,10949262,169,4.20463804341807,Very Low,1.55249660868837,Very Low
495207,2990106,105,11.3911538798114,Relatively Low,,Not Applicable
495209,10949248,38,11.3914080157024,Relatively Low,,Not Applicable
495210,10950028,42,28.3557751421614,Relatively High,5.9782967182498,Relatively Low
495211,472446,48,9.72136561477052,Relatively Low,2.59675779175613,Very Low
495213,10735125,62,8.80587730407691,Relatively Low,4.29848214518811,Relatively Low
495214,972609,13,20.2818649224949,Relatively High,,Not Applicable
495215,1490643,155,0,No Rating,1.66146580696227,Very Low
495216,1484914,77,27.3005004782642,Relatively High,,Not Applicable
495217,1983778,145,7.77753828412397,Relatively Low,0,No Rating
495218,3485074,83,10.8445060953761,Relatively Low,,Not Applicable
495220,10721281,552,23.6646614504352,Relatively High,,Not Applicable
495221,972089,8,21.8119703096002,Relatively High,,Not Applicable
495225,3984693,113,13.9498786311504,Relatively Moderate,,Not Applicable
495226,3986186,781,12.1682503153358,Relatively Moderate,,Not Applicable
495227,1985729,97,4.82318847652884,Relatively Low,0.26161108437964,Very Low
495230,1984118,265,5.95932694159355,Relatively Low,,Not Applicable
495232,1997511,88,7.23843187314612,Relatively Low,1.22281064385359,Very Low
495233,2989779,79,12.7002370715358,Relatively Moderate,,Not Applicable
495234,488071,101,6.39082656677526,Relatively Low,1.14105377612185,Very Low
495235,10949579,35,2.96053061773004,Very Low,0,No Rating
495236,2990535,63,6.4502122608548,Relatively Low,,Not Applicable
495237,2499835,65,14.9235035708226,Relatively Moderate,7.05420062517666,Relatively Low
495240,2492714,120,0,No Rating,0,No Rating
495241,10730272,104,14.523293755662,Relatively Moderate,6.02437423594017,Relatively Low
495242,1478244,126,8.57941878331239,Relatively Low,,Not Applicable
495243,1494652,50,12.512762374715,Relatively Moderate,,Not Applicable
495244,3993599,65,25.1102829813377,Relatively High,,Not Applicable
495246,10949678,188,11.809581798145,Relatively Moderate,3.01719261574323,Very Low
495247,10949645,252,7.10798188817306,Relatively Low,4.37488497602967,Relatively Low
495248,3987790,204,8.62285789355802,Relatively Low,0,No Rating
495249,10729390,462,11.9881119628707,Relatively Moderate,,Not Applicable
495250,484467,219,10.2679172244467,Relatively Low,,Not Applicable
495252,1493562,75,6.33480813343147,Relatively Low,0.379655468126257,Very Low
495253,3000775,82,12.7552789171391,Relatively Moderate,5.18348003136383,Relatively Low
495254,10729180,100,5.78847779033467,Relatively Low,,Not Applicable
495255,2994106,97,28.5616122472778,Relatively High,,Not Applicable
495256,2997611,137,10.3190808609008,Relatively Low,3.80237505313253,Relatively Low
495257,1980379,113,4.8864681863349,Relatively Low,0,No Rating
495258,1494822,111,7.34838150054536,Relatively Low,4.76505826860115,Relatively Low
495259,10726659,314,47.022378941758,Very High,,Not Applicable
495260,1494381,86,18.7867158831052,Relatively Moderate,0,No Rating
495261,1986647,147,10.5461501991462,Relatively Low,,Not Applicable
495262,2481686,125,20.2818649224949,Relatively High,,Not Applicable
495264,4000903,43,12.3792247184152,Relatively Moderate,24.1519839701423,Relatively High
495266,3991363,91,6.49719766707693,Relatively Low,0.450613526312601,Very Low
495267,1983955,319,12.3293487168958,Relatively Moderate,,Not Applicable
495268,482525,369,10.5662166145113,Relatively Low,11.8514947914079,Relatively Moderate
495269,10950009,35,0,No Rating,0.425344050788567,Very Low
495270,3003358,115,16.6524334078626,Relatively Moderate,4.67862914011443,Relatively Low
495272,10720901,84,10.0724131105224,Relatively Low,0.753025545687244,Very Low
495273,10729768,89,20.6900653616623,Relatively High,6.32066850850559,Relatively Low
495274,3002089,310,5.55029750063598,Relatively Low,,Not Applicable
495275,10721204,88,10.5461501991462,Relatively Low,,Not Applicable
495276,476339,118,15.8291829256323,Relatively Moderate,14.409797894449,Relatively Moderate
495277,2490882,431,21.0690776537287,Relatively High,20.9077490974837,Relatively High
495279,2483265,104,27.101942394146,Relatively High,,Not Applicable
495280,10731652,83,7.85365777699272,Relatively Low,2.86772122204051,Very Low
495282,2993511,103,3.49419686056124,Very Low,,Not Applicable
495283,486921,292,6.0936771786693,Relatively Low,0,No Rating
495286,10724927,62,17.8148317573953,Relatively Moderate,4.01607840380033,Relatively Low
495287,1993034,200,4.91658073468403,Relatively Low,3.66869982913978,Relatively Low
495288,10949630,200,0,No Rating,0,No Rating
495291,10727003,200,17.4648927774705,Relatively Moderate,1.94705012199035,Very Low
495293,2995338,86,11.0478522689419,Relatively Low,,Not Applicable
495294,10732750,59,9.38608311306137,Relatively Low,,Not Applicable
495295,3998118,103,28.6531873889838,Relatively High,,Not Applicable
495296,2492667,123,20.8573792637787,Relatively High,3.83891103834715,Relatively Low
495297,973177,75,6.31393045944999,Relatively Low,0,No Rating
495299,979389,87,13.1215826677314,Relatively Moderate,1.71612904226183,Very Low
495300,3992748,76,3.50776595259063,Very Low,6.24237878116849,Relatively Low
495301,10720142,185,19.2663371736866,Relatively Moderate,,Not Applicable
495302,1492151,77,12.9675893852704,Relatively Moderate,,Not Applicable
495303,2992509,316,14.9891206784181,Relatively Moderate,18.8763998391594,Relatively Moderate
495305,1993036,92,4.91658073468403,Relatively Low,3.66869982913978,Relatively Low
495306,1486913,145,16.4132742956649,Relatively Moderate,,Not Applicable
495308,10949497,147,6.27746857653273,Relatively Low,3.78471459663555,Relatively Low
495309,485948,57,12.9932933442706,Relatively Moderate,4.44577054436991,Relatively Low
495311,10949345,78,10.8896610000199,Relatively Low,1.04353225454582,Very Low
