FPN,county_city,total_pop_2020,ems,red_cross,fire_station,hospital,national_shelter,urgent_care,total_facilities_shelters,facilities_shelters_per_10000
51175,SOUTHAMPTON,17996,0,9,8,0,3,0,20,11.1135808
51177,SPOTSYLVANIA,140032,1,13,11,1,34,8,68,4.856032907
51179,STAFFORD,156927,0,18,15,1,36,5,75,4.779292282
51790,STAUNTON CITY,25750,1,3,5,2,9,1,21,8.155339806
51800,SUFFOLK CITY,94324,1,9,9,3,18,3,43,4.55875493
51181,SURRY,6561,0,2,5,0,2,0,9,13.71742112
51183,SUSSEX,10829,0,5,5,0,7,0,17,15.69858713
51185,TAZEWELL,40429,0,16,18,2,6,0,42,10.38858245
51810,VIRGINIA BEACH CITY,459470,0,20,23,4,40,14,101,2.198184865
51187,WARREN,40727,0,9,8,1,5,0,23,5.647359246
51191,WASHINGTON,53935,1,16,10,2,11,1,41,7.601742839
51820,WAYNESBORO CITY,22196,0,3,2,0,4,0,9,4.054784646
51193,WESTMORELAND,18477,0,9,6,0,3,0,18,9.741841208
51830,WILLIAMSBURG CITY,15425,0,1,4,1,4,2,12,7.779578606
51840,WINCHESTER CITY,28120,0,2,4,2,10,2,20,7.112375533
51195,WISE,36130,0,14,10,1,16,0,41,11.34791032
51197,WYTHE,28290,0,9,6,1,12,0,28,9.897490279
51199,YORK,70045,1,9,7,2,11,1,31,4.425726319
