FPN,CMS_worker,CMS_resident,prob_lcl_95,prob_mean,prob_ucl_95,number_lcl_95,number_mean,number_ucl_95,order_for_plotting,worker_percent_loss
495179,63,146,0.78,0.88,0.94,49,55,59,257,13
495181,10,10,0.54,0.67,0.72,5,7,7,2,30
495183,32,54,0.78,0.86,0.91,25,27,29,93,16
495184,38,53,0.62,0.73,0.8,24,28,30,103,26
495185,40,105,0.69,0.8,0.92,28,32,37,134,20
495186,68,99,0.63,0.73,0.8,43,49,55,233,28
495187,23,54,0.79,0.82,0.83,18,19,19,46,17
495188,22,55,0.81,0.85,0.88,18,19,19,47,14
495189,24,55,0.62,0.7,0.86,15,17,21,33,29
495190,34,85,0.68,0.74,0.84,23,25,29,80,26
495191,23,52,0.78,0.82,0.85,18,19,20,48,17
495192,25,69,0.74,0.82,0.9,18,21,22,62,16
495193,45,108,0.56,0.78,0.87,25,35,39,152,22
495194,42,102,0.62,0.76,0.92,26,32,39,135,24
495196,40,107,0.74,0.81,0.86,29,32,34,136,20
495197,24,48,0.71,0.78,0.83,17,19,20,49,21
495199,24,61,0.75,0.84,0.89,18,20,21,57,17
495200,23,57,0.65,0.65,0.65,15,15,15,23,35
495201,41,73,0.66,0.8,0.89,27,33,36,141,20
495202,38,86,0.72,0.8,0.84,27,30,32,118,21
495203,42,101,0.72,0.86,0.95,30,36,40,159,14
495204,41,83,0.56,0.76,0.87,23,31,36,126,24
495205,66,102,0.76,0.85,0.94,50,56,62,260,15
495206,51,93,0.66,0.76,0.86,34,39,44,181,24
495207,44,111,0.74,0.85,0.88,33,37,39,170,16
495209,44,110,0.64,0.81,0.88,28,36,39,160,18
495210,54,148,0.6,0.64,0.66,32,35,35,153,35
495211,55,117,0.7,0.8,0.86,39,44,47,208,20
495213,22,56,0.65,0.77,0.87,14,17,19,34,23
495214,11,16,0.75,0.78,0.8,8,9,9,3,18
495215,55,100,0.62,0.7,0.81,34,39,45,182,29
495216,50,103,0.73,0.73,0.73,36,36,36,161,28
495217,54,131,0.78,0.88,0.94,42,47,51,224,13
495218,28,52,0.78,0.83,0.89,22,23,25,69,18
495220,18,50,0.75,0.76,0.76,14,14,14,17,22
495221,30,66,0.75,0.77,0.78,23,23,23,70,23
495225,15,21,0.76,0.82,0.86,11,12,13,10,20
495226,21,49,0.81,0.84,0.88,17,18,18,39,14
495227,83,163,0.79,0.87,0.92,65,73,76,273,12
495230,20,55,0.66,0.85,0.94,13,17,19,35,15
495232,36,85,0.63,0.79,0.91,23,28,33,104,22
495233,36,84,0.7,0.8,0.87,25,29,31,107,19
495234,33,87,0.68,0.81,0.9,22,27,30,94,18
495235,46,101,0.48,0.76,0.95,22,35,44,154,24
495236,27,77,0.68,0.85,0.93,18,23,25,71,15
495237,64,169,0.61,0.73,0.83,39,47,53,225,27
495240,47,115,0.67,0.84,0.93,32,39,44,183,17
495241,44,113,0.61,0.74,0.79,27,32,35,137,27
495242,21,55,0.76,0.86,0.91,16,18,19,40,14
495243,57,159,0.78,0.8,0.83,45,46,47,216,19
495244,34,76,0.69,0.72,0.75,23,24,25,74,29
495246,37,100,0.6,0.78,0.85,22,29,31,108,22
495247,61,131,0.61,0.78,0.88,37,47,54,226,23
495248,55,112,0.76,0.87,0.91,42,48,50,229,13
495249,44,111,0.81,0.85,0.88,36,38,39,177,14
495250,34,97,0.83,0.85,0.86,28,29,29,109,15
495252,49,110,0.76,0.85,0.93,37,42,46,196,14
495253,47,112,0.61,0.72,0.81,29,34,38,147,28
495254,16,25,0.79,0.85,0.92,13,14,15,18,12
495255,41,115,0.71,0.71,0.71,29,29,29,110,29
495256,49,108,0.65,0.74,0.85,32,36,42,162,27
495257,48,110,0.83,0.87,0.9,40,42,43,197,12
495258,39,108,0.66,0.81,0.88,26,32,34,138,18
495259,49,112,0.53,0.53,0.53,26,26,26,88,47
495260,45,107,0.63,0.82,0.9,28,37,40,171,18
495261,63,143,0.84,0.86,0.88,53,54,56,253,14
495262,24,56,0.78,0.79,0.8,19,19,19,50,21
495264,21,55,0.51,0.58,0.63,11,12,13,11,43
495266,48,107,0.58,0.83,0.92,28,40,44,185,17
495267,37,117,0.73,0.82,0.87,27,30,32,119,19
495268,20,59,0.43,0.64,0.77,9,13,15,14,35
495269,18,26,0.68,0.86,0.99,12,15,18,24,17
495270,41,96,0.65,0.72,0.78,27,30,32,120,27
495272,65,166,0.79,0.8,0.81,51,52,52,245,20
495273,86,212,0.62,0.66,0.72,53,57,62,262,34
495274,92,172,0.76,0.78,0.79,70,71,73,271,23
495275,54,91,0.77,0.85,0.89,42,46,48,217,15
495276,54,145,0.34,0.54,0.69,18,29,37,111,46
495277,54,128,0.36,0.5,0.58,19,27,31,95,50
495279,67,167,0.72,0.73,0.73,48,49,49,234,27
495280,28,44,0.72,0.8,0.86,20,23,24,72,18
495282,32,79,0.73,0.85,0.94,23,27,30,96,16
495283,40,97,0.62,0.81,0.91,25,33,37,142,18
495286,58,146,0.62,0.71,0.78,36,41,45,191,29
495287,34,68,0.63,0.76,0.85,21,26,29,89,24
495288,23,42,0.69,0.83,0.93,16,19,21,51,17
495291,51,93,0.78,0.79,0.81,40,41,41,192,20
495293,61,167,0.74,0.82,0.88,45,50,54,238,18
495294,42,91,0.79,0.85,0.89,33,36,37,163,14
495295,70,166,0.72,0.72,0.72,50,50,50,239,29
495296,34,81,0.72,0.73,0.75,25,25,26,81,26
495297,42,111,0.58,0.81,0.92,24,34,38,148,19
495299,59,164,0.77,0.82,0.85,45,48,50,230,19
495300,41,106,0.39,0.75,0.92,16,31,38,127,24
495301,23,56,0.69,0.76,0.81,16,17,19,36,26
495302,23,77,0.74,0.82,0.87,17,19,20,52,17
495303,24,53,0.53,0.58,0.65,13,14,16,19,42
495305,57,142,0.63,0.75,0.85,36,43,48,202,25
495306,67,154,0.73,0.75,0.77,49,50,52,240,25
495308,49,109,0.63,0.74,0.89,31,36,44,164,27
495309,22,53,0.63,0.74,0.82,14,16,18,29,27
495311,17,71,0.72,0.82,0.88,12,14,15,20,18
495312,32,49,0.84,0.84,0.85,27,27,27,97,16
495315,26,78,0.7,0.7,0.7,18,18,18,41,31
495316,59,117,0.68,0.68,0.69,40,40,41,186,32
495317,22,57,0.82,0.87,0.92,18,19,20,53,14
495318,31,77,0.71,0.72,0.73,22,22,23,66,29
495319,50,75,0.81,0.88,0.9,40,44,45,209,12
495320,31,94,0.71,0.76,0.81,22,24,25,75,23
495321,23,57,0.75,0.79,0.89,17,18,20,42,22
495323,23,55,0.74,0.76,0.78,17,18,18,43,22
495324,25,41,0.64,0.74,0.83,16,18,21,44,28
495325,37,93,0.79,0.84,0.87,29,31,32,128,16
495326,52,146,0.74,0.85,0.97,38,44,50,210,15
495327,65,147,0.64,0.81,0.86,41,52,56,246,20
495328,21,53,0.34,0.48,0.62,7,10,13,5,52
495330,43,110,0.66,0.74,0.79,28,32,34,139,26
495331,43,109,0.79,0.85,0.88,34,36,38,165,16
495332,17,27,0.71,0.79,0.9,12,13,15,15,24
495333,61,110,0.8,0.88,0.98,49,54,60,254,11
495334,47,102,0.38,0.58,0.75,18,27,35,98,43
495336,41,97,0.75,0.78,0.8,31,32,33,140,22
495337,56,117,0.83,0.89,0.91,47,50,51,241,11
495338,39,85,0.79,0.86,0.9,31,34,35,149,13
495339,54,111,0.82,0.86,0.89,44,46,48,218,15
495340,35,93,0.61,0.74,0.83,21,26,29,90,26
495342,31,75,0.62,0.67,0.72,19,21,22,63,32
495343,35,81,0.73,0.76,0.8,26,27,28,99,23
495344,45,109,0.78,0.79,0.8,35,35,36,155,22
495345,26,79,0.34,0.5,0.69,9,13,18,16,50
495347,38,109,0.7,0.79,0.89,27,30,34,121,21
495348,30,75,0.78,0.83,0.87,23,25,26,82,17
495349,40,102,0.82,0.83,0.83,33,33,33,143,18
495350,36,91,0.59,0.8,0.86,21,29,31,112,19
495352,47,102,0.79,0.81,0.84,37,38,39,178,19
495353,66,150,0.82,0.91,0.96,54,60,63,265,9
495354,56,78,0.79,0.87,0.9,44,49,51,235,12
495355,40,72,0.79,0.86,0.91,32,34,36,150,15
495356,55,129,0.77,0.84,0.89,42,46,49,219,16
495357,30,60,0.78,0.83,0.86,23,25,26,83,17
495358,39,96,0.88,0.92,0.95,34,36,37,166,8
495359,74,140,0.73,0.78,0.84,54,58,62,263,22
495360,21,52,0.76,0.76,0.76,16,16,16,30,24
495361,45,101,0.65,0.82,0.91,29,37,41,172,18
495362,64,166,0.77,0.83,0.87,49,53,56,250,17
495363,54,111,0.81,0.83,0.85,44,45,46,214,17
495364,35,70,0.42,0.51,0.58,15,18,20,45,49
495365,25,54,0.7,0.78,0.87,18,19,22,54,24
495366,19,26,0.63,0.8,0.92,12,15,17,25,21
495367,30,67,0.53,0.71,0.83,16,21,25,64,30
495368,21,44,0.62,0.73,0.85,13,15,18,26,29
495369,23,45,0.62,0.74,0.84,14,17,19,37,26
495370,54,123,0.71,0.75,0.78,38,40,42,187,26
495371,52,117,0.78,0.78,0.78,41,41,41,193,21
495372,85,205,0.71,0.72,0.73,61,61,62,266,28
495373,29,53,0.78,0.82,0.85,23,24,25,76,17
495374,19,33,0.79,0.82,0.83,15,16,16,31,16
495375,39,97,0.72,0.81,0.89,28,31,35,129,21
495377,48,111,0.78,0.85,0.9,38,41,43,194,15
495378,48,113,0.76,0.82,0.89,37,40,43,188,17
495379,59,122,0.75,0.84,0.92,45,49,54,236,17
495380,49,113,0.77,0.88,0.93,38,43,46,203,12
495381,47,87,0.81,0.86,0.89,38,40,42,189,15
495383,29,46,0.62,0.65,0.69,18,19,20,55,34
495384,37,86,0.71,0.83,0.9,26,31,33,130,16
495385,84,106,0.71,0.78,0.86,59,66,73,268,21
495386,36,86,0.77,0.82,0.87,28,30,31,122,17
495387,38,76,0.71,0.78,0.82,27,30,31,123,21
495388,52,114,0.81,0.83,0.85,42,43,44,204,17
495389,26,55,0.72,0.83,0.88,19,21,23,65,19
495390,92,173,0.75,0.86,0.93,69,79,85,278,14
495391,42,94,0.69,0.83,0.89,29,35,38,156,17
495392,34,72,0.68,0.77,0.81,23,26,27,91,24
495393,106,183,0.79,0.83,0.85,84,88,90,279,17
495394,48,111,0.84,0.88,0.9,41,42,43,198,12
495395,24,29,0.63,0.65,0.68,15,16,16,32,33
495396,61,140,0.75,0.85,0.94,46,52,57,247,15
495397,26,45,0.62,0.79,0.91,16,20,24,58,23
495398,23,54,0.74,0.82,0.9,17,19,21,56,17
495399,29,77,0.71,0.78,0.82,21,23,24,73,21
495400,27,44,0.73,0.75,0.77,20,20,21,59,26
495401,34,81,0.76,0.87,0.93,26,29,32,113,15
495402,14,18,0.66,0.74,0.84,9,10,12,6,29
495403,49,88,0.76,0.79,0.8,37,39,39,184,20
495404,18,30,0.79,0.83,0.87,14,15,16,27,17
495405,11,22,0.65,0.77,0.82,7,9,9,4,18
495406,28,50,0.78,0.86,0.93,22,24,26,77,14
495407,38,82,0.76,0.82,0.89,29,31,34,131,18
495408,16,26,0.73,0.77,0.81,12,12,13,12,25
495409,50,114,0.73,0.89,0.94,37,44,47,211,12
495410,29,45,0.74,0.86,0.91,21,25,26,84,14
495411,32,72,0.72,0.84,0.91,23,27,29,100,16
495412,36,86,0.79,0.8,0.81,29,29,29,114,19
495413,63,157,0.79,0.85,0.9,50,54,57,255,14
495415,13,18,0.69,0.81,0.86,9,11,11,7,15
495416,26,42,0.77,0.83,0.86,20,22,22,67,15
495417,45,111,0.83,0.83,0.83,37,37,37,173,18
495418,56,113,0.66,0.77,0.87,37,43,49,205,23
495419,25,40,0.78,0.86,0.92,20,22,23,68,12
495420,49,110,0.79,0.84,0.91,39,41,45,195,16
495421,54,114,0.74,0.82,0.87,40,44,47,212,19
495422,26,70,0.4,0.58,0.74,10,15,19,28,42
495423,57,147,0.64,0.79,0.84,37,45,48,215,21
495424,54,113,0.82,0.85,0.9,44,46,48,220,15
495425,27,46,0.89,0.91,0.92,24,25,25,85,7
495426,82,168,0.73,0.8,0.87,60,66,71,269,20
49E004,22,39,0.72,0.77,0.81,16,17,18,38,23
49E075,35,68,0.68,0.69,0.7,24,24,25,78,31
49E076,25,42,0.78,0.8,0.83,19,20,21,60,20
49E084,71,129,0.66,0.83,0.92,47,59,65,264,17
49A007,17,28,0.75,0.84,0.9,13,14,15,21,18
49A022,39,33,0.77,0.84,0.91,30,33,36,144,15
49E131,14,21,0.79,0.82,0.86,11,12,12,13,14
49E257,14,30,0.63,0.78,0.87,9,11,12,8,21
