FPN,CMS_worker,CMS_resident,prob_lcl_95,prob_mean,prob_ucl_95,number_lcl_95,number_mean,number_ucl_95,order_for_plotting,worker_percent_loss
49E052,38,81,0.81,0.88,0.92,31,33,35,145,13
495002,37,86,0.79,0.84,0.87,29,31,32,124,16
495011,38,87,0.65,0.78,0.86,25,30,33,115,21
495013,108,207,0.79,0.83,0.86,85,89,93,280,18
495015,147,268,0.71,0.79,0.85,105,116,126,282,21
495019,139,260,0.73,0.83,0.89,101,116,123,283,17
495034,28,45,0.75,0.75,0.75,21,21,21,61,25
495038,57,113,0.73,0.82,0.85,42,47,48,221,18
495045,67,157,0.68,0.81,0.87,46,54,58,251,19
495046,49,97,0.82,0.88,0.92,40,43,45,199,12
495057,47,75,0.71,0.84,0.93,33,39,44,179,17
495068,60,154,0.6,0.62,0.64,36,37,38,167,38
495071,90,186,0.63,0.76,0.86,57,68,78,270,24
495077,38,91,0.81,0.83,0.87,31,32,33,132,16
495079,87,205,0.74,0.86,0.92,64,75,80,276,14
495085,48,113,0.81,0.86,0.93,39,41,44,190,15
495086,58,86,0.67,0.75,0.78,39,43,45,200,26
495087,72,214,0.77,0.78,0.79,56,56,57,258,22
495092,97,229,0.77,0.79,0.82,74,76,79,277,22
495093,63,167,0.72,0.79,0.85,46,50,54,237,21
495096,79,139,0.77,0.82,0.88,61,65,69,267,18
495097,69,168,0.74,0.82,0.87,51,57,60,261,17
495099,116,183,0.85,0.88,0.91,98,103,105,281,11
495102,63,139,0.73,0.84,0.87,46,53,55,248,16
495105,61,156,0.72,0.77,0.81,44,47,49,222,23
495107,45,113,0.71,0.71,0.71,32,32,32,133,29
495108,68,173,0.62,0.72,0.83,42,49,57,231,28
495109,59,136,0.7,0.83,0.9,41,49,53,232,17
495112,58,88,0.81,0.83,0.84,47,48,49,227,17
495113,64,49,0.75,0.82,0.87,48,53,56,249,17
495114,68,176,0.6,0.79,0.94,41,54,64,252,21
495115,68,152,0.72,0.77,0.79,49,52,54,243,24
495117,100,160,0.59,0.74,0.82,59,74,82,274,26
495118,41,109,0.74,0.83,0.88,30,34,36,146,17
495120,60,72,0.81,0.84,0.87,49,51,52,242,15
495121,64,164,0.69,0.86,0.93,44,55,60,256,14
495123,37,89,0.78,0.85,0.88,29,31,33,125,16
495126,55,128,0.77,0.79,0.83,42,44,45,206,20
495127,65,90,0.67,0.67,0.67,43,43,43,201,34
495131,53,107,0.82,0.88,0.94,43,47,50,223,11
495133,64,161,0.81,0.82,0.82,52,52,52,244,19
495134,48,108,0.79,0.79,0.79,38,38,38,174,21
495135,68,170,0.79,0.82,0.87,54,56,59,259,18
495139,42,107,0.68,0.72,0.77,29,30,32,116,29
495140,34,113,0.75,0.76,0.77,25,26,26,86,24
495141,36,94,0.76,0.77,0.78,27,28,28,101,22
495142,44,133,0.77,0.82,0.85,34,36,37,157,18
495143,44,113,0.72,0.82,0.93,32,36,41,158,18
495144,45,113,0.79,0.85,0.93,35,38,42,175,16
495146,34,103,0.77,0.79,0.8,26,27,27,92,21
495147,37,106,0.77,0.79,0.81,29,29,30,105,22
495149,41,105,0.6,0.74,0.81,25,30,33,117,27
495150,49,124,0.67,0.75,0.79,33,37,39,168,24
495151,42,105,0.81,0.83,0.87,34,35,36,151,17
495152,66,140,0.65,0.67,0.7,43,44,46,207,33
495153,57,132,0.76,0.85,0.92,43,48,53,228,16
495155,85,203,0.78,0.87,0.92,66,74,78,275,13
495156,33,79,0.78,0.84,0.9,26,28,30,102,15
495157,51,106,0.74,0.77,0.81,38,39,41,180,24
495160,24,38,0.34,0.5,0.7,8,12,17,9,50
495165,32,48,0.72,0.82,0.9,23,26,29,87,19
495166,19,52,0.71,0.79,0.9,14,15,17,22,21
495167,3,3,0.82,0.83,0.83,2,2,2,1,33
495168,31,81,0.75,0.8,0.87,23,25,27,79,19
495171,45,67,0.78,0.83,0.85,35,37,38,169,18
495173,55,87,0.64,0.69,0.74,35,38,41,176,31
495174,83,152,0.76,0.87,0.94,63,72,78,272,13
495177,49,89,0.83,0.92,0.96,41,45,47,213,8
495178,34,95,0.71,0.84,0.94,24,29,32,106,15
