geoid,name,percent_high_school,percent_vehicle,percent_employed,percent_not_disabled,gini_index,reverse_gini,resilience
51087200106,"Census Tract 2001.06, Henrico County, Virginia",91,90.3,95.3,89.1,0.4182,58.18,0.84776
51087200802,"Census Tract 2008.02, Henrico County, Virginia",89.8,97.5,91.7,90,0.4,60,0.858
51003010901,"Census Tract 109.01, Albemarle County, Virginia",99.6,82,95.7,97.9,0.5433,45.67,0.84174
51011040300,"Census Tract 403, Appomattox County, Virginia",83,96.1,94.6,87.1,0.4535,54.65,0.8309
51033030202,"Census Tract 302.02, Caroline County, Virginia",87.9,98.2,90.3,80.8,0.4435,55.65,0.8257
51059470600,"Census Tract 4706, Fairfax County, Virginia",95.6,89.7,95.6,92.6,0.5177,48.23,0.84346
51059491803,"Census Tract 4918.03, Fairfax County, Virginia",95.6,99.5,97.4,95.3,0.3405,65.95,0.9075
51059432300,"Census Tract 4323, Fairfax County, Virginia",97,96.2,95.9,93.1,0.3458,65.42,0.89524
51059492300,"Census Tract 4923, Fairfax County, Virginia",95.7,100,97.3,96.4,0.3296,67.04,0.91288
51059440701,"Census Tract 4407.01, Fairfax County, Virginia",94.9,97.3,97.4,93.5,0.3564,64.36,0.89492
51059480901,"Census Tract 4809.01, Fairfax County, Virginia",80.9,93.4,98.3,95.8,0.4119,58.81,0.85442
51059421600,"Census Tract 4216, Fairfax County, Virginia",71.1,79.1,96.6,90.5,0.4276,57.24,0.78908
51059451100,"Census Tract 4511, Fairfax County, Virginia",84.7,100,95.4,94.3,0.3721,62.79,0.87438
51059420501,"Census Tract 4205.01, Fairfax County, Virginia",99.9,95.4,99.8,94.1,0.3747,62.53,0.90346
51059432201,"Census Tract 4322.01, Fairfax County, Virginia",98.3,94.4,96.7,96.6,0.3377,66.23,0.90446
51059481202,"Census Tract 4812.02, Fairfax County, Virginia",87.9,94,93.1,96.7,0.4423,55.77,0.85494
51169030300,"Census Tract 303, Scott County, Virginia",82.9,93.8,94.3,72.9,0.427,57.3,0.8024
51179010103,"Census Tract 101.03, Stafford County, Virginia",93.5,96.2,95.8,87.8,0.3696,63.04,0.87268
51510200302,"Census Tract 2003.02, Alexandria city, Virginia",79.5,98,88.8,95.4,0.3868,61.32,0.84604
51510201204,"Census Tract 2012.04, Alexandria city, Virginia",90.5,91.7,99.3,95.1,0.358,64.2,0.8816
51520020300,"Census Tract 203, Bristol city, Virginia",78.1,85.9,92,69.4,0.4367,56.33,0.76346
51540000402,"Census Tract 4.02, Charlottesville city, Virginia",82.8,86.7,97.9,85.3,0.4087,59.13,0.82366
51570830500,"Census Tract 8305, Colonial Heights city, Virginia",93.2,96.7,95,88.5,0.3823,61.77,0.87034
51590001000,"Census Tract 10, Danville city, Virginia",72.2,76.4,85,75.3,0.5055,49.45,0.7167
51600300100,"Census Tract 3001, Fairfax city, Virginia",87.8,91.1,98,94.3,0.4311,56.89,0.85618
51760010800,"Census Tract 108, Richmond city, Virginia",76.6,74.8,91.5,83.8,0.4539,54.61,0.76262
51760020300,"Census Tract 203, Richmond city, Virginia",77.8,82.1,96.5,82.3,0.4812,51.88,0.78116
51760060900,"Census Tract 609, Richmond city, Virginia",60.8,83.4,93.8,84,0.4688,53.12,0.75024
51760040800,"Census Tract 408, Richmond city, Virginia",98.2,92.7,96.8,91.7,0.4751,52.49,0.86378
51790000500,"Census Tract 5, Staunton city, Virginia",89.3,91.1,97.8,89.2,0.5028,49.72,0.83424
