FPN,workers,residents,prob_lcl_95,prob_mean,prob_ucl_95
495377,111,48,9.79,15.03,21.76
495378,113,48,10.08,18.26,23.77
495379,122,59,7.79,16.51,24.95
495380,113,49,6.84,11.79,24.95
495381,87,47,10.72,14.14,19.33
495383,46,29,30.24,34.71,38.51
495384,86,37,9.17,17.84,31.12
495385,106,84,11.67,21.98,29.58
495386,86,36,12.38,17.52,23.51
495387,76,38,19.35,22.16,29.58
495388,114,52,14.88,16.63,18.83
495389,55,26,11.55,17.46,29.58
495390,173,92,6.64,13.65,27.38
495391,94,42,10.21,15.66,34.36
495392,72,34,19.42,23.44,33.25
495393,183,106,15.1,16.87,21.56
495394,111,48,10.18,11.89,16.3
495395,29,24,31.91,34.38,36.84
495396,140,61,6.13,15.43,25.5
495397,45,26,8.54,20.39,38.51
495398,54,23,10.24,17.8,25.98
495399,77,29,18.06,21.72,28.65
495400,44,27,22.92,24.87,27.1
495401,81,34,7.26,13.36,24.23
495402,18,14,15.93,23.26,34.36
495403,88,49,19.41,21.18,24.47
495404,30,18,12.38,17.3,21.07
495405,22,11,17.41,21.92,32.81
495406,50,28,5.8,14.55,22.57
495407,82,38,10.83,18.49,24.17
495408,26,16,18.55,24.01,27.3
495409,114,50,5.16,11.28,29.97
495410,45,29,10.21,15.62,30.73
495411,72,32,8.18,16.22,28.65
495412,86,36,18.65,19.69,20.79
495413,157,63,9.26,15.1,21.56
495415,18,13,13.63,18.31,30.53
495416,42,26,14.24,16.71,23.17
495417,111,45,16.91,17.05,17.15
495418,113,56,12.43,23.04,34.6
495419,40,25,6.95,14.12,22.08
495420,110,49,7.93,16.22,21.7
495421,114,54,12.88,17.53,27.3
495422,70,26,25.28,40.99,61.15
495423,147,57,15.9,20.56,38.27
495424,113,54,9.73,15,18.6
495425,46,27,7.49,9.19,10.69
495426,168,82,12.5,19.97,27.3
49A007,28,17,10.26,16.93,27.1
49A022,33,39,6.09,16.17,23.4
49E004,81,38,8.4,12.28,19.33
49E052,39,22,18.61,24.34,28.56
49E075,68,35,29.58,30.62,31.94
49E076,42,25,16.37,19.14,22.57
49E084,129,71,6.32,16.38,36.09
49E131,21,14,14.27,18.36,21.55
49E256,30,14,13.68,21.64,35.11
