FPN,WRK,RES,ProbLower,ProbMean,ProbUpper,EstLower,EstMean,EstUpper,Order,PerLoss
490000,38,81,0.809859172,0.87607526,0.915934318,31,33,35,145,13
495002,37,86,0.793502874,0.837728943,0.865729262,29,31,32,124,16
495011,38,87,0.647020483,0.777412962,0.857278811,25,30,33,115,21
495013,108,207,0.791186122,0.826755668,0.862325214,85,89,93,280,18
495015,147,268,0.713812069,0.789145185,0.854050436,105,116,126,282,21
495019,139,260,0.727379101,0.833241293,0.885147665,101,116,123,283,17
495034,28,45,0.750289573,0.750289573,0.750289573,21,21,21,61,25
495038,57,113,0.733919021,0.816675884,0.850752771,42,47,48,221,18
495045,67,157,0.680404536,0.811436258,0.871584877,46,54,58,251,19
495046,49,97,0.824505432,0.882415827,0.915944019,40,43,45,199,12
495057,47,75,0.711974313,0.838610354,0.926334797,33,39,44,179,17
495068,60,154,0.599602631,0.622168772,0.635392446,36,37,38,167,38
495071,90,186,0.630421098,0.75624075,0.864656243,57,68,78,270,24
495077,38,91,0.808791976,0.834582912,0.866010149,31,32,33,132,16
495079,87,205,0.738333244,0.862762839,0.922415684,64,75,80,276,14
495085,48,113,0.810740406,0.861364502,0.926414555,39,41,44,190,15
495086,58,86,0.674692999,0.746864527,0.779963472,39,43,45,200,26
495087,72,214,0.77176354,0.778403485,0.788561564,56,56,57,258,22
495092,97,229,0.765646427,0.786441452,0.815145183,74,76,79,277,22
495093,63,167,0.722325048,0.787060137,0.851791528,46,50,54,237,21
495096,79,139,0.77298628,0.821525571,0.878277616,61,65,69,267,18
495097,69,168,0.743375466,0.822975651,0.869575211,51,57,60,261,17
495099,116,183,0.848265998,0.884180075,0.907776187,98,103,105,281,11
495102,63,139,0.729706619,0.842059005,0.868894378,46,53,55,248,16
495105,61,156,0.716942354,0.7676928,0.805472339,44,47,49,222,23
495107,45,113,0.713468126,0.713468126,0.713468126,32,32,32,133,29
495108,68,173,0.620826842,0.719739667,0.832288796,42,49,57,231,28
495109,59,136,0.696665662,0.832504973,0.896197858,41,49,53,232,17
495112,58,88,0.80772478,0.825542657,0.840926696,47,48,49,227,17
495113,64,49,0.747828907,0.820758119,0.873960121,48,53,56,249,17
495114,68,176,0.603925048,0.789751814,0.936586735,41,54,64,252,21
495115,68,152,0.720685804,0.766874503,0.789029209,49,52,54,243,24
495117,100,160,0.58962931,0.736440212,0.817168266,59,74,82,274,26
495118,41,109,0.739530943,0.828353226,0.884525118,30,34,36,146,17
